Fecha,Hora,Demanda,Pred. M1,Pred. M2,Pred. M3
2017-12-20,19,913.79,914.3828125,950.8464158493525,951.2358582999652
2017-12-20,20,868.48,869.8125,869.2875855113182,869.8794347316826
2017-12-20,21,802.57,796.0390625,794.8149648308885,794.9888025162606
2017-12-20,22,710.9699999999999,714.296875,720.4940953538671,720.54112213379
2017-12-20,23,647.02,657.7734375,654.6707177895688,654.6498379692895
2017-12-21,0,601.91,615.75,612.6397439068677,612.5832900003555
2017-12-21,1,574.4200000000001,597.8984375,584.7230130286318,584.6370351003658
2017-12-21,2,564.75,587.9765625,565.6689021181492,565.1903672608378
2017-12-21,3,561.95,584.6015625,562.6896204463594,561.82244277981
2017-12-21,4,573.97,598.3125,576.7227757882497,575.7634120903634
2017-12-21,5,605.37,630.8046875,607.7913742173383,607.722188132199
2017-12-21,6,639.6099999999999,664.2265625,640.1936543803056,640.281911304197
2017-12-21,7,702.3,733.640625,710.3875732060794,710.2608566434667
2017-12-21,8,792.7099999999999,819.03125,789.4057943077295,789.8436088482097
2017-12-21,9,840.81,865.8671875,840.9806754091607,841.5775440578957
2017-12-21,10,869.75,896.734375,873.0388799926372,873.4945965396693
2017-12-21,11,890.73,914.3203125,888.8026284548947,889.4155366271355
2017-12-21,12,867.53,894.625,872.3152385964305,873.3891262554231
2017-12-21,13,886.3499999999999,909.2265625,883.6106168910399,885.0386998271625
2017-12-21,14,910.95,920.8828125,899.2434746630391,901.2897235138485
2017-12-21,15,912.66,908.2734375,898.8386977464675,901.0213814786653
2017-12-21,16,866.83,862.328125,866.4050895445084,867.4490502091973
2017-12-21,17,844.3599999999999,822.09375,826.2724546682342,826.1762163281713
2017-12-21,18,926.28,883.1171875,904.054609982751,903.1694540855857
2017-12-21,19,917.59,907.1015625,947.7508155019494,946.464965336868
2017-12-21,20,865.68,862.53125,872.3603675310801,871.6652924946837
2017-12-21,21,809.99,788.7578125,791.6627738195663,791.4692405116999
2017-12-21,22,715.07,707.015625,726.9811807634052,727.0224993760951
2017-12-21,23,649.84,650.4921875,658.0264531289255,658.0239581765543
2017-12-22,0,603.9000000000001,607.59375,614.9622372684032,614.7805559855649
2017-12-22,1,573.76,589.7421875,586.262668872622,586.0574868268151
2017-12-22,2,560.41,579.8203125,564.7091369723859,563.6948001486309
2017-12-22,3,557.98,576.4453125,558.2589612469008,556.8826871468353
2017-12-22,4,574.89,590.15625,572.6410923496245,571.605775886439
2017-12-22,5,604.24,622.6484375,608.3218298881071,607.7053758740175
2017-12-22,6,628.49,656.0703125,638.7905957005105,638.3464614189573
2017-12-22,7,693.25,725.484375,699.5621689837802,699.4113867646812
2017-12-22,8,779.73,810.875,780.5327679906337,780.931495012356
2017-12-22,9,833.8199999999999,857.7109375,828.4009606053742,828.9872615028526
2017-12-22,10,860.7,888.578125,866.1087998034252,866.5104795388104
2017-12-22,11,881.3199999999999,906.1640625,879.929602137799,880.0675940558958
2017-12-22,12,856.17,886.46875,863.102668295821,862.8325947276844
2017-12-22,13,843.79,901.0703125,872.5588500130649,872.6571227517344
2017-12-22,14,857.81,912.7265625,858.7645625472132,859.7074176753899
2017-12-22,15,851.67,900.1171875,848.3809652262676,849.1012049076136
2017-12-22,16,817.05,854.171875,808.5434118282468,809.4893816138616
2017-12-22,17,815.04,813.9375,778.9837993274951,780.015706036223
2017-12-22,18,904.0699999999999,874.9609375,876.0633710383721,875.2862257616991
2017-12-22,19,892.35,898.9453125,926.4655702319652,924.8003051207091
2017-12-22,20,848.7199999999999,854.375,848.2172937331893,847.6006210090395
